year,base_year,value,index_type,series_type,series_deflated,data_version
2012,1968,14.5,median_wage,indexed,real,"November 9, 2023"
2013,1968,14.58,median_wage,indexed,real,"November 9, 2023"
2014,1968,14.68,median_wage,indexed,real,"November 9, 2023"
2015,1968,14.91,median_wage,indexed,real,"November 9, 2023"
2016,1968,15.14,median_wage,indexed,real,"November 9, 2023"
2017,1968,15.37,median_wage,indexed,real,"November 9, 2023"
2018,1968,15.88,median_wage,indexed,real,"November 9, 2023"
2019,1968,16.15,median_wage,indexed,real,"November 9, 2023"
2020,1968,17.21,median_wage,indexed,real,"November 9, 2023"
2021,1968,16.7,median_wage,indexed,real,"November 9, 2023"
2022,1968,16.55,median_wage,indexed,real,"November 9, 2023"
2023,1968,16.41,median_wage,indexed,real,"November 9, 2023"
2009,2009,10,median_wage,indexed,real,"November 9, 2023"
2010,2009,9.94,median_wage,indexed,real,"November 9, 2023"
2011,2009,9.84,median_wage,indexed,real,"November 9, 2023"
2012,2009,9.84,median_wage,indexed,real,"November 9, 2023"
2013,2009,9.89,median_wage,indexed,real,"November 9, 2023"
2014,2009,9.96,median_wage,indexed,real,"November 9, 2023"
2015,2009,10.12,median_wage,indexed,real,"November 9, 2023"
2016,2009,10.28,median_wage,indexed,real,"November 9, 2023"
2017,2009,10.43,median_wage,indexed,real,"November 9, 2023"
2018,2009,10.78,median_wage,indexed,real,"November 9, 2023"
2019,2009,10.96,median_wage,indexed,real,"November 9, 2023"
2020,2009,11.68,median_wage,indexed,real,"November 9, 2023"
2021,2009,11.34,median_wage,indexed,real,"November 9, 2023"
2022,2009,11.23,median_wage,indexed,real,"November 9, 2023"
2023,2009,11.14,median_wage,indexed,real,"November 9, 2023"
1938,NA,4.43,NA,actual,real,"November 9, 2023"
1939,NA,5.38,NA,actual,real,"November 9, 2023"
1940,NA,5.36,NA,actual,real,"November 9, 2023"
1941,NA,5.08,NA,actual,real,"November 9, 2023"
1942,NA,4.58,NA,actual,real,"November 9, 2023"
1943,NA,4.33,NA,actual,real,"November 9, 2023"
1944,NA,4.26,NA,actual,real,"November 9, 2023"
1945,NA,5.55,NA,actual,real,"November 9, 2023"
1946,NA,5.11,NA,actual,real,"November 9, 2023"
1947,NA,4.47,NA,actual,real,"November 9, 2023"
1948,NA,4.15,NA,actual,real,"November 9, 2023"
1949,NA,4.2,NA,actual,real,"November 9, 2023"
1950,NA,7.79,NA,actual,real,"November 9, 2023"
1951,NA,7.22,NA,actual,real,"November 9, 2023"
1952,NA,7.04,NA,actual,real,"November 9, 2023"
1953,NA,7,NA,actual,real,"November 9, 2023"
1954,NA,6.98,NA,actual,real,"November 9, 2023"
1955,NA,7,NA,actual,real,"November 9, 2023"
1956,NA,9.19,NA,actual,real,"November 9, 2023"
1957,NA,8.88,NA,actual,real,"November 9, 2023"
1958,NA,8.66,NA,actual,real,"November 9, 2023"
1959,NA,8.57,NA,actual,real,"November 9, 2023"
1960,NA,8.43,NA,actual,real,"November 9, 2023"
1961,NA,9.6,NA,actual,real,"November 9, 2023"
1962,NA,9.49,NA,actual,real,"November 9, 2023"
1963,NA,10.19,NA,actual,real,"November 9, 2023"
1964,NA,10.06,NA,actual,real,"November 9, 2023"
1965,NA,9.91,NA,actual,real,"November 9, 2023"
1966,NA,9.62,NA,actual,real,"November 9, 2023"
1967,NA,10.48,NA,actual,real,"November 9, 2023"
1968,NA,11.55,NA,actual,real,"November 9, 2023"
1969,NA,11.06,NA,actual,real,"November 9, 2023"
1970,NA,10.56,NA,actual,real,"November 9, 2023"
1971,NA,10.11,NA,actual,real,"November 9, 2023"
1972,NA,9.82,NA,actual,real,"November 9, 2023"
1973,NA,9.24,NA,actual,real,"November 9, 2023"
1974,NA,10.49,NA,actual,real,"November 9, 2023"
1975,NA,10.18,NA,actual,real,"November 9, 2023"
1976,NA,10.54,NA,actual,real,"November 9, 2023"
1977,NA,9.91,NA,actual,real,"November 9, 2023"
1978,NA,10.7,NA,actual,real,"November 9, 2023"
1979,NA,10.7,NA,actual,real,"November 9, 2023"
1980,NA,10.28,NA,actual,real,"November 9, 2023"
1981,NA,10.15,NA,actual,real,"November 9, 2023"
1982,NA,9.58,NA,actual,real,"November 9, 2023"
1983,NA,9.18,NA,actual,real,"November 9, 2023"
1984,NA,8.82,NA,actual,real,"November 9, 2023"
1985,NA,8.53,NA,actual,real,"November 9, 2023"
1986,NA,8.39,NA,actual,real,"November 9, 2023"
1987,NA,8.11,NA,actual,real,"November 9, 2023"
1988,NA,7.82,NA,actual,real,"November 9, 2023"
1989,NA,7.5,NA,actual,real,"November 9, 2023"
1990,NA,8.11,NA,actual,real,"November 9, 2023"
1991,NA,8.75,NA,actual,real,"November 9, 2023"
1992,NA,8.54,NA,actual,real,"November 9, 2023"
1993,NA,8.33,NA,actual,real,"November 9, 2023"
1994,NA,8.16,NA,actual,real,"November 9, 2023"
1995,NA,7.96,NA,actual,real,"November 9, 2023"
1996,NA,8.67,NA,actual,real,"November 9, 2023"
1997,NA,9.2,NA,actual,real,"November 9, 2023"
1998,NA,9.08,NA,actual,real,"November 9, 2023"
1999,NA,8.89,NA,actual,real,"November 9, 2023"
2000,NA,8.63,NA,actual,real,"November 9, 2023"
2001,NA,8.44,NA,actual,real,"November 9, 2023"
2002,NA,8.33,NA,actual,real,"November 9, 2023"
2003,NA,8.17,NA,actual,real,"November 9, 2023"
2004,NA,7.96,NA,actual,real,"November 9, 2023"
2005,NA,7.74,NA,actual,real,"November 9, 2023"
2006,NA,7.52,NA,actual,real,"November 9, 2023"
2007,NA,8.33,NA,actual,real,"November 9, 2023"
2008,NA,8.99,NA,actual,real,"November 9, 2023"
2009,NA,10,NA,actual,real,"November 9, 2023"
